name,pokemon_name,english_name,pokemon_id,price,stock,pack_series_code,image,rarity,type,number,series_code
ナンジャモのビリリダマ,ビリリダマ,Voltorb,100,50,10,sv1a,images/047033_P_HOERUO.jpg,UR,雷,001/100,SV1A
ナンジャモのマルマイン,マルマイン,Electrode,101,80,5,sv1a,images/electrode.jpg,UR,雷,002/100,SV1A
リーリエのピッピex,ピッピ,Clefairy,35,120,3,ss1a,images/clefairy.jpg,SR,超,003/100,SS1A
Nのバチュル,バチュル,Joltik,595,30,8,sv1b,images/joltik.jpg,R,雷,004/100,SV1B
ナンジャモのズピカ,ズピカ,Plusle,311,40,7,sv1a,images/plusle.jpg,R,雷,005/100,SV1A
ナンジャモのハラバリーex,ハラバリー,Minun,312,60,6,sv1a,images/minun.jpg,SR,雷,006/100,SV1A
ナンジャモのカイデン,カイデン,Manectric,310,70,4,sv1a,images/manectric.jpg,R,雷,007/100,SV1A
ナンジャモのタイカイデン,カイデン,Manectric,310,70,4,sv1a,images/manectric.jpg,SR,雷,008/100,SV1A
キャタピー,キャタピー,Caterpie,10,20,15,sv1a,images/caterpie.jpg,C,草,009/100,SV1A
トランセル,トランセル,Metapod,11,25,12,sv1a,images/metapod.jpg,U,草,010/100,SV1A
