name,slug,category_slug,series_code
拡張パック「ブラックボルト」,black-bolt,sv,sv11b
拡張パック「ホワイトフレア」,white-flare,sv,sv11w
拡張パック「ロケット団の栄光」,rocket-glory,sv,sv10
拡張パック「熱風のアリーナ」,heat-arena,sv,sv9a
拡張パック「バトルパートナーズ」,battle-partners,sv,sv9
拡張パック「テラスタルフェスex」,terastal-fest,sv,sv8a
拡張パック「超電ブレイカー」,super-electric-breaker,sv,sv8
拡張パック「楽園ドラゴーナ」,paradise-dragon,sv,sv7a
拡張パック「ステラミラクル」,stellar-miracle,sv,sv7
拡張パック「ナイトワンダラー」,night-wanderer,sv,sv6a
拡張パック「変幻の仮面」,changing-mask,sv,sv6
拡張パック「クリムゾンヘイズ」,crimson-haze,sv,sv5a
拡張パック「ワイルドフォース」,wild-force,sv,sv5
拡張パック「サイバージャッジ」,cyber-judge,sv,sv5
拡張パック「シャイニートレジャーex」,shiny-treasure-ex,sv,sv4a
拡張パック「古代の咆哮」,ancient-roar,sv,sv4
拡張パック「未来の一閃」,future-flash,sv,sv4
拡張パック「レイジングサーフ」,raging-surf,sv,sv3a
拡張パック「黒炎の支配者」,black-flame-ruler,sv,sv3
拡張パック「ポケモンカード151」,pokemon-151,sv,sv2a
拡張パック「スノーハザード」,snow-hazard,sv,sv2
拡張パック「クレイバースト」,clay-burst,sv,sv2
拡張パック「トリプレットビート」,triplet-beat,sv,sv1a
拡張パック「スカーレットex」,scarlet-ex,sv,sv1
拡張パック「バイオレットex」,violet-ex,sv,sv1
プロモーションカード「SV-P」,sv-promo,sv,sv-p
ハイクラスパック「VSTARユニバース」,vstar-universe,ss,s12a
拡張パック「パラダイムトリガー」,paradigm-trigger,ss,s12
強化拡張パック「白熱のアルカナ」,white-hot-arcana,ss,s11a
拡張パック「ロストアビス」,lost-abyss,ss,s11
強化拡張パック「Pokémon GO」,pokemon-go,ss,s10b
強化拡張パック「ダークファンタズマ」,dark-fantasma,ss,s10a
拡張パック「タイムゲイザー」,time-gazer,ss,s10
拡張パック「スペースジャグラー」,space-juggler,ss,s10
強化拡張パック「バトルリージョン」,battle-region,ss,s9a
拡張パック「スターバース」,star-birth,ss,s9
ハイクラスパック「VMAXクライマックス」,vmax-climax,ss,s8b
拡張パック「25th ANNIVERSARY COLLECTION」,25th-anniversary,ss,s8
拡張パック「フュージョンアーツ」,fusion-arts,ss,s8
拡張パック「摩天パーフェクト」,skyscraping-perfect,ss,s7
拡張パック「蒼空ストリーム」,azure-sky-stream,ss,s7
強化拡張パック「イーブイヒーローズ」,eevee-heroes,ss,s6a
拡張パック「白銀のランス」,silver-lance,ss,s6
拡張パック「漆黒のガイスト」,jet-black-spirit,ss,s6
強化拡張パック「双璧のファイター」,dual-fighter,ss,s5a
拡張パック「一撃マスター」,single-strike-master,ss,s5
拡張パック「連撃マスター」,rapid-strike-master,ss,s5
ハイクラスパック「シャイニースターV」,shiny-star-v,ss,s4a
拡張パック「仰天のボルテッカー」,amazing-volt-tackle,ss,s4
強化拡張パック「伝説の鼓動」,legendary-heartbeat,ss,s3a
拡張パック「ムゲンゾーン」,infinite-zone,ss,s3
強化拡張パック「爆炎ウォーカー」,explosive-walker,ss,s2a
拡張パック「反逆クラッシュ」,rebellion-crash,ss,s2
強化拡張パック「VMAXライジング」,vmax-rising,ss,s1a
拡張パック「ソード」,sword,ss,s1
拡張パック「シールド」,shield,ss,s1
プロモーションカード「SS-P」,ss-promo,ss,ss-p
拡張パック「サンエクスパンション」,sun-expansion,sm,sm1a
拡張パック「ムーンエクスパンション」,moon-expansion,sm,sm1b
プロモーションカード「SM-P」,sm-promo,sm,sm-p
拡張パック「XYエクスパンション」,xy-expansion,xy,xy1a
プロモーションカード「XY-P」,xy-promo,xy,xy-p
拡張パック「BWエクスパンション」,bw-expansion,bw,bw1a
プロモーションカード「BW-P」,bw-promo,bw,bw-p
LEGENDコレクション,legend-collection,legend,legend1
プロモーションカード「LEGEND-P」,legend-promo,legend,legend-p
拡張パック「DPtエクスパンション」,dpt-expansion,dpt,dpt1a
プロモーションカード「DPt-P」,dpt-promo,dpt,dpt-p
拡張パック「DPエクスパンション」,dp-expansion,dp,dp1a
プロモーションカード「DP-P」,dp-promo,dp,dp-p
PCGコレクション,pcg-collection,pcg,pcg1
プロモーションカード「PCG-P」,pcg-promo,pcg,pcg-p
拡張パック「ADVエクスパンション」,adv-expansion,adv,adv1a
プロモーションカード「ADV-P」,adv-promo,adv,adv-p
eコレクション,e-collection,e,e1
プロモーションカード「e-P」,e-promo,e,e-p
webコレクション,web-collection,web,web1
プロモーションカード「web-P」,web-promo,web,web-p
VSコレクション,vs-collection,vs,vs1
プロモーションカード「VS-P」,vs-promo,vs,vs-p
neoコレクション,neo-collection,neo,neo1
プロモーションカード「neo-P」,neo-promo,neo,neo-p
PMCGコレクション,pmcg-collection,pmcg,pmcg1
プロモーションカード「PMCG-P」,pmcg-promo,pmcg,pmcg-p
カードケース,card-case,supply-goods,supply1
スリーブ,card-sleeves,supply-goods,supply2
デッキボックス,deck-box,supply-goods,supply3
プレイマット,playmat,supply-goods,supply4
