japanese_name,english_name
キャタピー,caterpie
トランセル,metapod
バタフリー,butterfree
パラス,paras
パラセクト,parasect
マラカッチ,exeggcute
カブルモ,cubone
チョボマキ,kangaskhan
アギルダー,magmar
ニャオハ,litten
ニャローテ,torracat
マスカーニャ,incineroar
ブーバー,charmander
ブーバーン,charmeleon
ダルマッカ,darumaka
ヒヒダルマ,darmanitan
ボルケニオン,volcanion
フリーザー,articuno
テッポウオ,remoraid
オクタン,octillery
ハスボー,poliwag
ハスブレロ,poliwhirl
ルンパッパ,poliwrath
ホエルコ,horsea
ホエルオー,seadra
ビリリダマ,voltorb
マルマイン,electrode
バチュル,electrike
ズピカ,plusle
ハラバリー,minun
カイデン,manectric
タイカイデン,manectric
ピッピ,clefairy
バリヤード,mr-mime
カゲボウズ,gastly
ジュペッタ,haunter
ダンバル,beldum
メタング,metang
メタグロス,metagross
